time,step,latitude,longitude,valid_time,d2m_kelvin,d2m_celsius,t2m_kelvin,t2m_celsius,sf,ro,e,u10,v10,tp_mm
2024-10-02,4.0,25.29999999999999,92.19999999999986,2024-10-02 04:00,295.7923583984375,22.642358398437523,298.152587890625,25.002587890625023,0.0,0.00026366859674453735,-0.0006193104200065136,-0.30352783203125,0.1989288330078125,0.6224960088729858
2024-10-23,4.0,25.699999999999996,92.49999999999984,2024-10-23 04:00,294.1904296875,21.040429687500023,297.044677734375,23.894677734375023,0.0,0.0005682036280632019,-0.0005181534215807915,-1.2364044189453125,0.25487613677978516,1.1011436581611633
2024-10-09,6.0,25.19999999999999,91.3999999999999,2024-10-09 06:00,296.7933349609375,23.643334960937523,299.95166015625,26.801660156250023,0.0,0.0018537789583206177,-0.0011379779316484928,0.528900146484375,0.833186149597168,1.5282705426216125
2024-10-27,6.0,26.0,92.69999999999983,2024-10-27 06:00,295.893798828125,22.743798828125023,301.916015625,28.766015625000023,0.0,0.0005762577056884766,-0.0014444799162447453,-0.57122802734375,-0.3327789306640625,0.001043081283569336
2024-10-20,6.0,25.599999999999994,91.79999999999988,2024-10-20 06:00,288.447021484375,15.297021484375023,295.2119140625,22.061914062500023,0.0,0.0008191019296646118,-0.0016408050432801247,-0.8912200927734375,-0.28320884704589844,0.1747235655784607
2024-10-15,11.0,25.099999999999987,90.89999999999993,2024-10-15 11:00,296.443603515625,23.293603515625023,301.2373046875,28.087304687500023,0.0,0.0021490156650543213,-0.003574468195438385,0.5892486572265625,-0.1356048583984375,0.012025237083435059
2024-10-08,11.0,25.29999999999999,92.19999999999986,2024-10-08 11:00,293.48876953125,20.338769531250023,295.245361328125,22.095361328125023,0.0,0.0034884363412857056,-0.0025373585522174835,0.3280792236328125,1.2323722839355469,4.2539238929748535
2024-10-19,6.0,25.599999999999994,91.19999999999992,2024-10-19 06:00,290.6572265625,17.507226562500023,295.089599609375,21.939599609375023,0.0,0.000690363347530365,-0.0015370030887424946,0.7603607177734375,0.116119384765625,0.8157417178153992
2024-10-03,11.0,25.499999999999993,90.69999999999995,2024-10-03 11:00,296.84716796875,23.697167968750023,297.591552734375,24.441552734375023,0.0,0.005969256162643433,-0.0009943032637238503,-0.3806610107421875,-0.0098419189453125,10.917231440544128
2024-10-19,4.0,25.39999999999999,91.4999999999999,2024-10-19 04:00,288.720458984375,15.570458984375023,292.282470703125,19.132470703125023,0.0,0.000545695424079895,-0.0005843753460794687,0.164398193359375,1.5528717041015625,0.03428012132644653
2024-10-23,11.0,25.9,91.4999999999999,2024-10-23 11:00,296.25830078125,23.108300781250023,298.798095703125,25.648095703125023,0.0,0.0012662410736083984,-0.0021881991997361183,-1.092010498046875,-0.72686767578125,4.689380526542664
2024-10-27,6.0,25.699999999999996,91.4999999999999,2024-10-27 06:00,291.694580078125,18.544580078125023,297.337890625,24.187890625000023,0.0,0.000588729977607727,-0.0015206574462354183,0.36920166015625,-1.2751617431640625,0.03568083047866821
2024-10-16,11.0,25.19999999999999,92.8,2024-10-16 11:00,291.685546875,18.535546875000023,294.871826171875,21.721826171875023,0.0,0.0017905235290527344,-0.0035661724396049976,0.12103271484375,-0.12932205200195312,2.6913522742688656
2024-10-07,6.0,26.1,92.69999999999983,2024-10-07 06:00,298.621337890625,25.471337890625023,302.526123046875,29.376123046875023,0.0,0.0016654431819915771,-0.0016322862356901169,0.0899810791015625,-0.7071075439453125,0.7125288248062134
2024-10-03,4.0,25.099999999999987,91.89999999999988,2024-10-03 04:00,298.626220703125,25.476220703125023,299.828125,26.678125000000023,0.0,0.0006518438458442688,-0.0002559511922299862,-0.84259033203125,-0.069427490234375,1.4252588152885437
2024-10-05,6.0,25.29999999999999,92.59999999999984,2024-10-05 06:00,293.9129638671875,20.762963867187523,295.998779296875,22.848779296875023,0.0,0.0019433647394180298,-0.0011535752564668655,1.530914306640625,3.317103385925293,1.5328377485275269
2024-10-21,6.0,25.9,90.99999999999993,2024-10-21 06:00,295.1318359375,21.981835937500023,301.235595703125,28.085595703125023,0.0,0.0006867349147796631,-0.0013754237443208694,-1.4698333740234375,-1.3619842529296875,0.0050514936447143555
2024-10-24,4.0,26.1,91.19999999999992,2024-10-24 04:00,295.8836669921875,22.733666992187523,297.685546875,24.535546875000023,0.0,0.0004105791449546814,-0.00020379340276122093,-1.392822265625,-1.1653776168823242,0.9205937385559082
2024-10-18,4.0,25.799999999999997,92.39999999999985,2024-10-18 04:00,292.925048828125,19.775048828125023,296.728515625,23.578515625000023,0.0,0.00048776715993881226,-0.0006558187305927277,-1.029632568359375,-1.0016698837280273,0.07506459951400757
2024-10-08,4.0,25.9,91.89999999999988,2024-10-08 04:00,294.6673583984375,21.517358398437523,297.67626953125,24.526269531250023,0.0,0.0014161095023155212,-0.00065979128703475,0.3463897705078125,-0.9266815185546875,0.06475299596786499
2024-10-20,6.0,25.099999999999987,90.59999999999995,2024-10-20 06:00,295.370849609375,22.220849609375023,303.0732421875,29.923242187500023,0.0,0.0011684298515319824,-0.0018220203928649426,0.5941314697265625,-0.5341854095458984,0.07400661706924438
2024-10-18,4.0,26.0,91.99999999999987,2024-10-18 04:00,293.688720703125,20.538720703125023,297.728515625,24.578515625000023,0.0,0.0005365759134292603,-0.0005849972367286682,-1.243499755859375,-0.9206151962280273,0.022314488887786865
2024-10-17,6.0,25.699999999999996,90.79999999999994,2024-10-17 06:00,293.135498046875,19.985498046875023,299.243896484375,26.093896484375023,0.0,0.0009051412343978882,-0.0016215131618082523,1.5922698974609375,-0.28798580169677734,0.3341212868690491
